Rxn name	Formula	Gene-reaction association	LB	UB	Objective
DHQS	2dda7p_c[c]  -> 3dhq_c[c] + h_c[c] + pi_c[c] 	RTMO04296	  0.00	1000.00	  0.00
DHQTi	3dhq_c[c]  -> 3dhsk_c[c] + h2o_c[c] 	RTMO00030	  0.00	1000.00	  0.00
UPP3S	hmbil_c[c]  -> h2o_c[c] + uppg3_c[c] 	RTMO01796 or RTMO03023	  0.00	1000.00	  0.00
SULR	3 h_c[c] + 3 nadph_c[c] + so3_c[c]  -> 3 h2o_c[c] + h2s_c[c] + 3 nadp_c[c] 	RTMO12345	  0.00	1000.00	  0.00
UPP3MT	2 amet_c[c] + uppg3_c[c]  -> 2 ahcys_c[c] + 2 h_c[c] + shcl_c[c] 	RTMO02148 or RTMO00595 or RTMO02950	  0.00	1000.00	  0.00
AHSL	achms_c[c] + cys__L_c[c]  -> ac_c[c] + cyst__L_c[c] + h_c[c] 	RTMO03881	  0.00	1000.00	  0.00
PPPGO_1	3 o2_c[c] + pppg9_c[c]  -> 3 h2o2_c[c] + ppp9_c[c] 	RTMO04697	  0.00	1000.00	  0.00
HSTPT	glu__L_c[c] + imacp_c[c]  -> akg_c[c] + hisp_c[c] 	RTMO03795	  0.00	1000.00	  0.00
PPCDC	4ppcys_c[c] + h_c[c]  -> co2_c[c] + pan4p_c[c] 	RTMO03625	  0.00	1000.00	  0.00
G5SD	glu5p_c[c] + nadph_c[c]  -> glu5sa_c[c] + nadp_c[c] + pi_c[c] 	RTMO02636	  0.00	1000.00	  0.00
G5SADs	glu5sa_c[c]  -> h2o_c[c] + h_c[c] + pyr5c_c[c] 	RTMO05954	  0.00	1000.00	  0.00
IGPDH	eig3p_c[c]  -> h2o_c[c] + imacp_c[c] 	RTMO05096	  0.00	1000.00	  0.00
APRAUR	5apru_c[c] + h_c[c] + nadph_c[c]  -> 5aprbu_c[c] + nadp_c[c] 	RTMO01077	  0.00	1000.00	  0.00
DHPPDA2	25drapp_c[c] + h2o_c[c] + h_c[c]  -> 5apru_c[c] + nh4_c[c] 	RTMO01077	  0.00	1000.00	  0.00
PSCVT	pep_c[c] + skm5p_c[c]  -> 3psme_c[c] + h_c[c] + pi_c[c] 	RTMO04298	  0.00	1000.00	  0.00
DHNPA2r	dhnpt_c[c]  -> 6hmhpt_c[c] + gcald_c[c] 	RTMO02972	  0.00	1000.00	  0.00
IGPS	2cpr5p_c[c] + h_c[c]  -> 3ig3p_c[c] + co2_c[c] + h2o_c[c] 	RTMO03791	  0.00	1000.00	  0.00
PRAI	pran_c[c]  -> 2cpr5p_c[c] 	RTMO03792	  0.00	1000.00	  0.00
SELCYSLY	h_c[c] + hacc2_c[c] + selcys_c[c]  -> acc2_c[c] + ala__L_c[c] + seln_c[c] 	RTMO03469 or RTMO00794 or RTMO03065 or RTMO02502 or RTMO04943 or RTMO02241	  0.00	1000.00	  0.00
ACSERL	acser_c[c] + seln_c[c]  -> ac_c[c] + h_c[c] + selcys_c[c] 	RTMO01843 or RTMO02967 or RTMO00444 or RTMO02459 or RTMO02285	  0.00	1000.00	  0.00
PC20M	amet_c[c] + 7 h_c[c] + shcl_c[c]  -> ahcys_c[c] + pre3a_c[c] 	RTMO02154	  0.00	1000.00	  0.00
4OT	2hmc_c[c]  -> oxalc_c[c] 	RTMO00927 or RTMO01262 or RTMO01828 or RTMO01885	  0.00	1000.00	  0.00
IPPMIb	3c3hmp_c[c]  -> 2ippm_c[c] + h2o_c[c] 	RTMO03038 or RTMO03037	  0.00	1000.00	  0.00
IPPMIa	2ippm_c[c] + h2o_c[c]  -> 3c2hmp_c[c] 	RTMO03037 or RTMO03038	  0.00	1000.00	  0.00
SUCBZL	atp_c[c] + coa_c[c] + h_c[c] + sucbz_c[c]  -> amp_c[c] + ppi_c[c] + sbzcoa_c[c] 	RTMO03228 or RTMO01439	  0.00	1000.00	  0.00
SUCBZS	2shchc_c[c]  -> h2o_c[c] + sucbz_c[c] 	RTMO03936	  0.00	1000.00	  0.00
PRATPP	h2o_c[c] + prbatp_c[c]  -> h_c[c] + ppi_c[c] + prbamp_c[c] 	RTMO04005	  0.00	1000.00	  0.00
PRAMPC	h2o_c[c] + prbamp_c[c]  -> prfp_c[c] 	RTMO04005	  0.00	1000.00	  0.00
IVCOAR	coa_c[c] + dhpltra_c[c] + h_c[c]  -> edhyl_c[c] + ivcoa_c[c] 	RTMO01147	  0.00	1000.00	  0.00
GLUTRR	glutrna_c[c] + h_c[c] + nadph_c[c]  -> glu1sa_c[c] + nadp_c[c] + trnaglu_c[c] 	RTMO03026	  0.00	1000.00	  0.00
MTRK	5mtr_c[c] + atp_c[c]  -> 5mdr1p_c[c] + adp_c[c] + h_c[c] 	RTMO03957	  0.00	1000.00	  0.00
PRAGSr	atp_c[c] + gly_c[c] + pram_c[c]  -> adp_c[c] + gar_c[c] + h_c[c] + pi_c[c] 	RTMO00389	  0.00	1000.00	  0.00
NNDMBRT	dmbzid_c[c] + nicrnt_c[c]  -> 5prdmbz_c[c] + nac_c[c] 	RTMO02149	  0.00	1000.00	  0.00
PSERT	3php_c[c] + glu__L_c[c]  -> akg_c[c] + pser__L_c[c] 	RTMO04186	  0.00	1000.00	  0.00
DHDPRy	23dhdp_c[c] + h_c[c] + nadph_c[c]  -> h2o_c[c] + nadp_c[c] + thdp_c[c] 	RTMO04203	  0.00	1000.00	  0.00
PRAIS	atp_c[c] + fpram_c[c]  -> adp_c[c] + air_c[c] + h_c[c] + pi_c[c] 	RTMO00386	  0.00	1000.00	  0.00
