Rxn name	Formula	Gene-reaction association	LB	UB	Objective
arm_ACOAD6f_REV	fadh2_c[c] + td2coa_c[c]  -> pmet_ACOAD6f_REV[c] 	RTMO02304 or RTMO00865 or RTMO01260 or RTMO01925 or RTMO04474	  0.00	1000.00	  0.00
ACOAD6f_REV_No1	0.50584 prot_GARCT_01100[c] + pmet_ACOAD6f_REV[c]  -> fad_c[c] + tdcoa_c[c] 	RTMO02304 or RTMO00865 or RTMO01260 or RTMO01925 or RTMO04474	  0.00	1000.00	  0.00
ACOAD6f_REV_No2	0.36486 prot_PTT_03254?[c] + pmet_ACOAD6f_REV[c]  -> fad_c[c] + tdcoa_c[c] 	RTMO02304 or RTMO00865 or RTMO01260 or RTMO01925 or RTMO04474	  0.00	1000.00	  0.00
ACOAD6f_REV_No3	0.054615 prot_AOT13_RS08150[c] + pmet_ACOAD6f_REV[c]  -> fad_c[c] + tdcoa_c[c] 	RTMO02304 or RTMO00865 or RTMO01260 or RTMO01925 or RTMO04474	  0.00	1000.00	  0.00
ACOAD6f_REV_No4	0.22203 prot_Geoth_2581[c] + pmet_ACOAD6f_REV[c]  -> fad_c[c] + tdcoa_c[c] 	RTMO02304 or RTMO00865 or RTMO01260 or RTMO01925 or RTMO04474	  0.00	1000.00	  0.00
ACOAD6f_REV_No5	0.0099004 prot_I656_03312[c] + pmet_ACOAD6f_REV[c]  -> fad_c[c] + tdcoa_c[c] 	RTMO02304 or RTMO00865 or RTMO01260 or RTMO01925 or RTMO04474	  0.00	1000.00	  0.00
ACACT7m_REV_No1	3ohdcoa_c[c] + coa_c[c] + 0.032496 prot_BCV53_RS07805[c]  -> accoa_c[c] + tdcoa_c[c] 	RTMO02611 or RTMO03780 or RTMO02305	  0.00	1000.00	  0.00
IPPMIa_REV_No1	3c2hmp_c[c] + 0.11584 prot_AOT13_RS17735[c]  -> 2ippm_c[c] + h2o_c[c] 	RTMO03037 or RTMO03038	  0.00	1000.00	  0.00
arm_SMBCOAOR_REV	2mb2coa_c[c] + fadh2_c[c] + 3 h_c[c]  -> pmet_SMBCOAOR_REV[c] 	RTMO01260 or RTMO01925	  0.00	1000.00	  0.00
SMBCOAOR_REV_No1	0.19989 prot_LR69_00440[c] + pmet_SMBCOAOR_REV[c]  -> fad_c[c] + s2mbcoa_c[c] 	RTMO01260 or RTMO01925	  0.00	1000.00	  0.00
SMBCOAOR_REV_No2	0.31795 prot_AOT13_RS03610[c] + pmet_SMBCOAOR_REV[c]  -> fad_c[c] + s2mbcoa_c[c] 	RTMO01260 or RTMO01925	  0.00	1000.00	  0.00
SMBCOAOR_REV_No3	0.062144 prot_AOT13_RS08150[c] + pmet_SMBCOAOR_REV[c]  -> fad_c[c] + s2mbcoa_c[c] 	RTMO01260 or RTMO01925	  0.00	1000.00	  0.00
arm_ECOAH5_REV	h2o_c[c] + trans_dd2coa_c[c]  -> pmet_ECOAH5_REV[c] 	RTMO02614 or RTMO02615 or RTMO02306 or RTMO01440	  0.00	1000.00	  0.00
ECOAH5_REV_No1	0.0078988 prot_AOT13_RS03950[c] + pmet_ECOAH5_REV[c]  -> 3hddcoa_c[c] 	RTMO02614 or RTMO02615 or RTMO02306 or RTMO01440	  0.00	1000.00	  0.00
ECOAH5_REV_No2	0.03705 prot_AOT13_RS14960[c] + pmet_ECOAH5_REV[c]  -> 3hddcoa_c[c] 	RTMO02614 or RTMO02615 or RTMO02306 or RTMO01440	  0.00	1000.00	  0.00
HACD9_REV_No1	2maacoa_c[c] + h_c[c] + nadh_c[c] + 0.013621 prot_LR69_02773[c]  -> 3hmbcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
GARFT_REV_No1	fgam_c[c] + h_c[c] + thf_c[c] + 0.043996 prot_AOT13_RS04755[c]  -> 10fthf_c[c] + gar_c[c] 	RTMO00387	  0.00	1000.00	  0.00
ADPT2_REV_No1	5a4icam_c[c] + prpp_c[c] + 0.02559 prot_AOT13_RS17360[c]  -> aicar_c[c] + h_c[c] + ppi_c[c] 	RTMO04957	  0.00	1000.00	  0.00
ADSL2r_REV_No1	aicar_c[c] + fum_c[c] + 3 h_c[c] + 0.009886 prot_AOT13_RS04720[c]  -> 25aics_c[c] 	RTMO00380	  0.00	1000.00	  0.00
AICART_REV_No1	fprica_c[c] + thf_c[c] + 0.24194 prot_AOT13_RS04760[c]  -> 10fthf_c[c] + aicar_c[c] 	RTMO00388	  0.00	1000.00	  0.00
AHETDYTTPHY_REV_No1	dattoo_c[c] + 0.48945 prot_AOT13_RS15650[c]  -> ahdt_c[c] + h2o_c[c] + 4 h_c[c] 	RTMO04290	  0.00	1000.00	  0.00
PRMICI_REV_No1	prlp_c[c] + 0.28172 prot_AOT13_RS00845[c]  -> prfp_c[c] 	RTMO04007	  0.00	1000.00	  0.00
arm_HACD7_REV	3ohdcoa_c[c] + h_c[c] + nadh_c[c]  -> pmet_HACD7_REV[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD7_REV_No1	0.34001 prot_LR69_02774[c] + pmet_HACD7_REV[c]  -> 3hhdcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD7_REV_No2	0.043968 prot_AOT13_RS00410[c] + pmet_HACD7_REV[c]  -> 3hhdcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
arm_ECOAH7_REV	h2o_c[c] + hdd2coa_c[c]  -> pmet_ECOAH7_REV[c] 	RTMO01440 or RTMO02306 or RTMO02614 or RTMO02615	  0.00	1000.00	  0.00
ECOAH7_REV_No1	0.0085977 prot_AOT13_RS03950[c] + pmet_ECOAH7_REV[c]  -> 3hhdcoa_c[c] 	RTMO01440 or RTMO02306 or RTMO02614 or RTMO02615	  0.00	1000.00	  0.00
ECOAH7_REV_No2	0.038633 prot_AOT13_RS14960[c] + pmet_ECOAH7_REV[c]  -> 3hhdcoa_c[c] 	RTMO01440 or RTMO02306 or RTMO02614 or RTMO02615	  0.00	1000.00	  0.00
arm_HACD6_REV	3otdcoa_c[c] + h_c[c] + nadh_c[c]  -> pmet_HACD6_REV[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD6_REV_No1	0.34001 prot_LR69_02774[c] + pmet_HACD6_REV[c]  -> 3htdcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD6_REV_No2	0.043968 prot_AOT13_RS00410[c] + pmet_HACD6_REV[c]  -> 3htdcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
arm_ECOAH6_REV	h2o_c[c] + td2coa_c[c]  -> pmet_ECOAH6_REV[c] 	RTMO02614 or RTMO01440 or RTMO02306 or RTMO02615	  0.00	1000.00	  0.00
ECOAH6_REV_No1	0.0082715 prot_AOT13_RS03950[c] + pmet_ECOAH6_REV[c]  -> 3htdcoa_c[c] 	RTMO02614 or RTMO01440 or RTMO02306 or RTMO02615	  0.00	1000.00	  0.00
ECOAH6_REV_No2	0.038028 prot_AOT13_RS14960[c] + pmet_ECOAH6_REV[c]  -> 3htdcoa_c[c] 	RTMO02614 or RTMO01440 or RTMO02306 or RTMO02615	  0.00	1000.00	  0.00
arm_HACD5_REV	3oddcoa_c[c] + h_c[c] + nadh_c[c]  -> pmet_HACD5_REV[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD5_REV_No1	0.34001 prot_LR69_02774[c] + pmet_HACD5_REV[c]  -> 3hddcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD5_REV_No2	0.043968 prot_AOT13_RS00410[c] + pmet_HACD5_REV[c]  -> 3hddcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
ACACT5r_1_REV_No1	3oddcoa_c[c] + coa_c[c] + 0.044065 prot_AOT13_RS00405[c]  -> accoa_c[c] + dcacoa_c[c] 	RTMO02611 or RTMO03780 or RTMO02305	  0.00	1000.00	  0.00
arm_HACD4_REV	3odcoa_c[c] + h_c[c] + nadh_c[c]  -> pmet_HACD4_REV[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD4_REV_No1	0.34001 prot_LR69_02774[c] + pmet_HACD4_REV[c]  -> 3hdcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD4_REV_No2	0.043968 prot_AOT13_RS00410[c] + pmet_HACD4_REV[c]  -> 3hdcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
arm_ECOAH4_REV	dc2coa_c[c] + h2o_c[c]  -> pmet_ECOAH4_REV[c] 	RTMO02306 or RTMO01440 or RTMO02614 or RTMO02615	  0.00	1000.00	  0.00
ECOAH4_REV_No1	0.0075628 prot_AOT13_RS03950[c] + pmet_ECOAH4_REV[c]  -> 3hdcoa_c[c] + 3 h_c[c] 	RTMO02306 or RTMO01440 or RTMO02614 or RTMO02615	  0.00	1000.00	  0.00
ECOAH4_REV_No2	0.035998 prot_AOT13_RS14960[c] + pmet_ECOAH4_REV[c]  -> 3hdcoa_c[c] + 3 h_c[c] 	RTMO02306 or RTMO01440 or RTMO02614 or RTMO02615	  0.00	1000.00	  0.00
arm_HACD3_REV	3oocoa_c[c] + h_c[c] + nadh_c[c]  -> pmet_HACD3_REV[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD3_REV_No1	0.34001 prot_LR69_02774[c] + pmet_HACD3_REV[c]  -> 3hocoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD3_REV_No2	0.042994 prot_AOT13_RS00410[c] + pmet_HACD3_REV[c]  -> 3hocoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
arm_ECOAH3_REV	h2o_c[c] + oc2coa_c[c]  -> pmet_ECOAH3_REV[c] 	RTMO02614 or RTMO02306 or RTMO02615 or RTMO01440	  0.00	1000.00	  0.00
ECOAH3_REV_No1	0.0072827 prot_AOT13_RS03950[c] + pmet_ECOAH3_REV[c]  -> 3hocoa_c[c] 	RTMO02614 or RTMO02306 or RTMO02615 or RTMO01440	  0.00	1000.00	  0.00
ECOAH3_REV_No2	0.034709 prot_AOT13_RS14960[c] + pmet_ECOAH3_REV[c]  -> 3hocoa_c[c] 	RTMO02614 or RTMO02306 or RTMO02615 or RTMO01440	  0.00	1000.00	  0.00
HEXACOAT_REV_No1	3oocoa_c[c] + coa_c[c] + 0.042258 prot_AOT13_RS00405[c]  -> accoa_c[c] + hxcoa_c[c] 	RTMO02305 or RTMO03780 or RTMO02611	  0.00	1000.00	  0.00
arm_HACD2_REV	3ohcoa_c[c] + h_c[c] + nadh_c[c]  -> pmet_HACD2_REV[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD2_REV_No1	0.34001 prot_LR69_02774[c] + pmet_HACD2_REV[c]  -> 3hhcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
HACD2_REV_No2	0.041458 prot_AOT13_RS00410[c] + pmet_HACD2_REV[c]  -> 3hhcoa_c[c] + nad_c[c] 	RTMO02306	  0.00	1000.00	  0.00
arm_ECOAH2_REV	h2o_c[c] + hx2coa_c[c]  -> pmet_ECOAH2_REV[c] 	RTMO01440 or RTMO02614 or RTMO02306 or RTMO02615	  0.00	1000.00	  0.00
ECOAH2_REV_No1	0.0070871 prot_AOT13_RS03950[c] + pmet_ECOAH2_REV[c]  -> 3hhcoa_c[c] 	RTMO01440 or RTMO02614 or RTMO02306 or RTMO02615	  0.00	1000.00	  0.00
ECOAH2_REV_No2	0.033821 prot_AOT13_RS14960[c] + pmet_ECOAH2_REV[c]  -> 3hhcoa_c[c] 	RTMO01440 or RTMO02614 or RTMO02306 or RTMO02615	  0.00	1000.00	  0.00
arm_ACOAD2f_REV	fadh2_c[c] + hx2coa_c[c]  -> pmet_ACOAD2f_REV[c] 	RTMO01260 or RTMO04474 or RTMO01925 or RTMO02304 or RTMO00865	  0.00	1000.00	  0.00
ACOAD2f_REV_No1	0.36486 prot_PTT_03254?[c] + pmet_ACOAD2f_REV[c]  -> fad_c[c] + hxcoa_c[c] 	RTMO01260 or RTMO04474 or RTMO01925 or RTMO02304 or RTMO00865	  0.00	1000.00	  0.00
ACOAD2f_REV_No2	0.31795 prot_AOT13_RS03610[c] + pmet_ACOAD2f_REV[c]  -> fad_c[c] + hxcoa_c[c] 	RTMO01260 or RTMO04474 or RTMO01925 or RTMO02304 or RTMO00865	  0.00	1000.00	  0.00
ACOAD2f_REV_No3	0.051558 prot_AOT13_RS08150[c] + pmet_ACOAD2f_REV[c]  -> fad_c[c] + hxcoa_c[c] 	RTMO01260 or RTMO04474 or RTMO01925 or RTMO02304 or RTMO00865	  0.00	1000.00	  0.00
ACOAD2f_REV_No4	0.21021 prot_Geoth_2581[c] + pmet_ACOAD2f_REV[c]  -> fad_c[c] + hxcoa_c[c] 	RTMO01260 or RTMO04474 or RTMO01925 or RTMO02304 or RTMO00865	  0.00	1000.00	  0.00
ACOAD2f_REV_No5	0.0082354 prot_I656_03312[c] + pmet_ACOAD2f_REV[c]  -> fad_c[c] + hxcoa_c[c] 	RTMO01260 or RTMO04474 or RTMO01925 or RTMO02304 or RTMO00865	  0.00	1000.00	  0.00
arm_ACOAD4f_REV	dc2coa_c[c] + fadh2_c[c]  -> pmet_ACOAD4f_REV[c] 	RTMO01260 or RTMO02304 or RTMO04474 or RTMO01925 or RTMO00865	  0.00	1000.00	  0.00
ACOAD4f_REV_No1	0.36486 prot_PTT_03254?[c] + pmet_ACOAD4f_REV[c]  -> dcacoa_c[c] + fad_c[c] + 3 h_c[c] 	RTMO01260 or RTMO02304 or RTMO04474 or RTMO01925 or RTMO00865	  0.00	1000.00	  0.00
ACOAD4f_REV_No2	0.053001 prot_AOT13_RS08150[c] + pmet_ACOAD4f_REV[c]  -> dcacoa_c[c] + fad_c[c] + 3 h_c[c] 	RTMO01260 or RTMO02304 or RTMO04474 or RTMO01925 or RTMO00865	  0.00	1000.00	  0.00
ACOAD4f_REV_No3	0.2144 prot_Geoth_2581[c] + pmet_ACOAD4f_REV[c]  -> dcacoa_c[c] + fad_c[c] + 3 h_c[c] 	RTMO01260 or RTMO02304 or RTMO04474 or RTMO01925 or RTMO00865	  0.00	1000.00	  0.00
ACOAD4f_REV_No4	0.0090198 prot_I656_03312[c] + pmet_ACOAD4f_REV[c]  -> dcacoa_c[c] + fad_c[c] + 3 h_c[c] 	RTMO01260 or RTMO02304 or RTMO04474 or RTMO01925 or RTMO00865	  0.00	1000.00	  0.00
UAGPT3_REV_No1	uaagmda_c[c] + udp_c[c] + 1.4152 prot_AOT13_RS04360[c]  -> uacgam_c[c] + uagmda_c[c] 	RTMO00339	  0.00	1000.00	  0.00
KARI_REV_No1	3hmop_c[c] + h_c[c] + 0.036771 prot_AOT13_RS09330[c]  -> 2ahbut_c[c] 	RTMO02720	  0.00	1000.00	  0.00
RU5PL_REV_No1	ah6p__D_c[c] + h_c[c] + 0.67195 prot_AOT13_RS07090[c]  -> fald_c[c] + ru5p__D_c[c] 	RTMO02776	  0.00	1000.00	  0.00
AH6PI_REV_No1	f6p_c[c] + 0.025407 prot_AOT13_RS07085[c]  -> ah6p__D_c[c] + h_c[c] 	RTMO02775	  0.00	1000.00	  0.00
HBCOAOR_REV_No1	aacoa_c[c] + 4 h_c[c] + nadph_c[c] + 0.0030174 prot_AOT13_RS03600[c]  -> hbcoa_c[c] + nadp_c[c] 	RTMO04827 or RTMO02612 or RTMO04473 or RTMO01626	 -0.00	1000.00	  0.00
NODOx_REV_No1	nadh_c[c] + 2 no_c[c] + 2 o2_c[c] + 0.044792 prot_AOT13_RS12620[c]  -> h_c[c] + nad_c[c] + 2 no3_c[c] 	RTMO02323	 -0.00	1000.00	  0.00
MTHFO_REV_No1	h_c[c] + mlthf_c[c] + nadh_c[c] + 0.037382 prot_MWM14_RS18130[c]  -> 5mthf_c[c] + nad_c[c] 	RTMO02786	 -0.00	1000.00	  0.00
AIRC3_REV_No1	5aizc_c[c] + h_c[c] + 2.2188 prot_AOT13_RS04710[c]  -> 5caiz_c[c] 	RTMO12345	  0.00	1000.00	  0.00
EN6LYOR_REV_No1	h_c[c] + lpam_c[c] + nadh_c[c] + 0.018488 prot_AOT13_RS16365[c]  -> edhyl_c[c] + nad_c[c] 	RTMO00135 or RTMO00827 or RTMO01152	  0.00	1000.00	  0.00
DMPPS_REV_No1	h2mb4p_c[c] + h_c[c] + nadh_c[c] + 1.1064 prot_AOT13_RS16875[c]  -> dmpp_c[c] + h2o_c[c] + nad_c[c] 	RTMO00109	 -0.00	1000.00	  0.00
ACM6PH_REV_No1	acgam6p_c[c] + lac__D_c[c] + 0.017898 prot_AOT13_RS11085[c]  -> acmum6p_c[c] + h2o_c[c] + h_c[c] 	RTMO03966	  0.00	1000.00	  0.00
arm_ACOATA_REV	acACP_c[c] + coa_c[c]  -> pmet_ACOATA_REV[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No1	0.015814 prot_BCV53_RS07070[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No2	0.032496 prot_BCV53_RS07805[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No3	0.047639 prot_BCV53_RS18855[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No4	0.17431 prot_AOT13_RS04870[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No5	0.019636 prot_AOT13_RS04875[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No6	0.015814 prot_BCV53_RS07070[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
ACOATA_REV_No7	0.0038748 prot_GT20_2689[c] + pmet_ACOATA_REV[c]  -> ACP_c[c] + accoa_c[c] 	RTMO02786 or RTMO02784	  0.00	1000.00	  0.00
arm_MCOATA_REV	coa_c[c] + h_c[c] + malACP_c[c]  -> pmet_MCOATA_REV[c] 	RTMO12345	  0.00	1000.00	  0.00
MCOATA_REV_No1	0.015814 prot_BCV53_RS07070[c] + pmet_MCOATA_REV[c]  -> ACP_c[c] + malcoa_c[c] 	RTMO12345	  0.00	1000.00	  0.00
MCOATA_REV_No2	0.032496 prot_BCV53_RS07805[c] + pmet_MCOATA_REV[c]  -> ACP_c[c] + malcoa_c[c] 	RTMO12345	  0.00	1000.00	  0.00
MCOATA_REV_No3	0.047639 prot_BCV53_RS18855[c] + pmet_MCOATA_REV[c]  -> ACP_c[c] + malcoa_c[c] 	RTMO12345	  0.00	1000.00	  0.00
MCOATA_REV_No4	pmet_MCOATA_REV[c] + 0.24175 prot_AOT13_RS08935[c]  -> ACP_c[c] + malcoa_c[c] 	RTMO12345	  0.00	1000.00	  0.00
MCOATA_REV_No5	0.015814 prot_BCV53_RS07070[c] + pmet_MCOATA_REV[c]  -> ACP_c[c] + malcoa_c[c] 	RTMO12345	  0.00	1000.00	  0.00
arm_EAR40x_REV	but2eACP_c[c] + h_c[c] + nadh_c[c]  -> pmet_EAR40x_REV[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR40x_REV_No1	1.0492 prot_AOT13_RS07490[c] + pmet_EAR40x_REV[c]  -> butACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR40x_REV_No2	0.015253 prot_BCV53_RS07070[c] + pmet_EAR40x_REV[c]  -> butACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
arm_EAR80x_REV	h_c[c] + nadh_c[c] + toct2eACP_c[c]  -> pmet_EAR80x_REV[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR80x_REV_No1	5.0378 prot_AOT13_RS07490[c] + pmet_EAR80x_REV[c]  -> nad_c[c] + ocACP_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR80x_REV_No2	0.015253 prot_BCV53_RS07070[c] + pmet_EAR80x_REV[c]  -> nad_c[c] + ocACP_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
arm_EAR100x_REV	h_c[c] + nadh_c[c] + tdec2eACP_c[c]  -> pmet_EAR100x_REV[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR100x_REV_No1	3.9635 prot_AOT13_RS07490[c] + pmet_EAR100x_REV[c]  -> dcaACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR100x_REV_No2	0.012275 prot_BCV53_RS07070[c] + pmet_EAR100x_REV[c]  -> dcaACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
arm_EAR120x_REV	h_c[c] + nadh_c[c] + tddec2eACP_c[c]  -> pmet_EAR120x_REV[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR120x_REV_No1	3.5702 prot_AOT13_RS07490[c] + pmet_EAR120x_REV[c]  -> ddcaACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR120x_REV_No2	0.015253 prot_BCV53_RS07070[c] + pmet_EAR120x_REV[c]  -> ddcaACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
arm_EAR140x_REV	h_c[c] + nadh_c[c] + tmrs2eACP_c[c]  -> pmet_EAR140x_REV[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR140x_REV_No1	4.1425 prot_AOT13_RS07490[c] + pmet_EAR140x_REV[c]  -> myrsACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR140x_REV_No2	0.015253 prot_BCV53_RS07070[c] + pmet_EAR140x_REV[c]  -> myrsACP_c[c] + nad_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
arm_EAR160x_REV	h_c[c] + nadh_c[c] + tpalm2eACP_c[c]  -> pmet_EAR160x_REV[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR160x_REV_No1	5.2549 prot_AOT13_RS07490[c] + pmet_EAR160x_REV[c]  -> nad_c[c] + palmACP_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
EAR160x_REV_No2	0.015253 prot_BCV53_RS07070[c] + pmet_EAR160x_REV[c]  -> nad_c[c] + palmACP_c[c] 	RTMO12345	 -0.00	1000.00	  0.00
BUTKr_REV_No1	adp_c[c] + butpi_c[c] + 0.016184 prot_AOT13_RS16370[c]  -> atp_c[c] + but_c[c] 	RTMO12345	  0.00	1000.00	  0.00
CMTEPISO_REV_No1	cthzp_c[c] + 2.2316 prot_AOT13_RS06600[c]  -> cmtdepp_c[c] 	RTMO05970	  0.00	1000.00	  0.00
LCTST_REV_No1	ala__L_c[c] + enzscys_c[c] + 0.23375 prot_AOT13_RS18330[c]  -> cys__L_c[c] + enzcys_c[c] 	RTMO05972	  0.00	1000.00	  0.00
arm_BTN5AMPL_REV	amp_c[c] + btn_c[c] + 2 h_c[c]  -> pmet_BTN5AMPL_REV[c] 	RTMO05976	  0.00	1000.00	  0.00
BTN5AMPL_REV_No1	0.032985 prot_GT20_0061[c] + pmet_BTN5AMPL_REV[c]  -> b5amp_c[c] + h2o_c[c] 	RTMO05976	  0.00	1000.00	  0.00
BTN5AMPL_REV_No2	0.032985 prot_GT20_0061[c] + pmet_BTN5AMPL_REV[c]  -> b5amp_c[c] + h2o_c[c] 	RTMO05976	  0.00	1000.00	  0.00
BTN5AMPL_REV_No3	0.032985 prot_GT20_0061[c] + pmet_BTN5AMPL_REV[c]  -> b5amp_c[c] + h2o_c[c] 	RTMO05976	  0.00	1000.00	  0.00
BTN5AMPL_REV_No4	0.37642 prot_AOT13_RS15475[c] + pmet_BTN5AMPL_REV[c]  -> b5amp_c[c] + h2o_c[c] 	RTMO05976	  0.00	1000.00	  0.00
arm_LALDO2x_REV	h_c[c] + mthgxl_c[c] + nadh_c[c]  -> pmet_LALDO2x_REV[c] 	RTMO05979	 -0.00	1000.00	  0.00
LALDO2x_REV_No1	3.5026 prot_LR69_01217[c] + pmet_LALDO2x_REV[c]  -> lald__L_c[c] + nad_c[c] 	RTMO05979	 -0.00	1000.00	  0.00
LALDO2x_REV_No2	0.038955 prot_Geoth_3483[c] + pmet_LALDO2x_REV[c]  -> lald__L_c[c] + nad_c[c] 	RTMO05979	 -0.00	1000.00	  0.00
ACCOAACT_REV_No1	aglyc3p_c[c] + coa_c[c] + 0.04705 prot_BCV53_RS12185[c]  -> acylcoa_c[c] + glyc3p_c[c] 	RTMO05987	  0.00	1000.00	  0.00
ACCOATT_REV_No1	coa_c[c] + pa_c[c] + 0.0061651 prot_AOT13_RS15730[c]  -> acylcoa_c[c] + aglyc3p_c[c] 	RTMO05988	  0.00	1000.00	  0.00
CTPPCT_REV_No1	cdpdag_c[c] + h_c[c] + ppi_c[c] + 1.0216 prot_AOT13_RS09270[c]  -> ctp_c[c] + pa_c[c] 	RTMO05989	  0.00	1000.00	  0.00
B23DONOR_REV_No1	actn__R_c[c] + h_c[c] + nadh_c[c] + 0.5423 prot_AOT13_RS03680[c]  -> nad_c[c] + rr23bdo_c[c] 	RTMO05990	  0.00	1000.00	  0.00
ACTD_REV_No1	diact_c[c] + h_c[c] + nadh_c[c] + 0.5423 prot_AOT13_RS03680[c]  -> actn__R_c[c] + nad_c[c] 	RTMO05991	  0.00	1000.00	  0.00
ACTNAT_REV_No1	acald_c[c] + accoa_c[c] + h_c[c] + nadh_c[c] + 4.4366 prot_I656_00154[c]  -> actn_c[c] + coa_c[c] + nad_c[c] 	RTMO05992	  0.00	1000.00	  0.00
HPI_REV_No1	hop_c[c] + 0.064923 prot_AOT13_RS14265[c]  -> hpyr_c[c] 	RTMO05994	  0.00	1000.00	  0.00
HOXPRm_REV_No1	h_c[c] + hop_c[c] + nadh_c[c] + 0.060621 prot_Geoth_2893[c]  -> glyc__R_c[c] + nad_c[c] 	RTMO05995	 -0.00	1000.00	  0.00
ECOAH1_REV_No1	b2coa_c[c] + h2o_c[c] + 0.027411 prot_AOT13_RS14960[c]  -> 3hbcoa_c[c] 	RTMO05997	  0.00	1000.00	  0.00
SBTPD_REV_No1	f6p_c[c] + nadh_c[c] + 0.0035146 prot_AOT13_RS18810[c]  -> nad_c[c] + sbt6p_c[c] 	RTMO06015	  0.00	1000.00	  0.00
RMI_REV_No1	rml_c[c] + 0.076347 prot_AOT13_RS05120[c]  -> rmn_c[c] 	RTMO06023	  0.00	1000.00	  0.00
RMPA_REV_No1	dhap_c[c] + lald__L_c[c] + 0.025693 prot_AOT13_RS05125[c]  -> h_c[c] + rml1p_c[c] 	RTMO06025	  0.00	1000.00	  0.00
KDG2R_REV_No1	h_c[c] + kdg2_c[c] + nadph_c[c] + 0.29844 prot_GEPA3_0559[c]  -> glcn__D_c[c] + nadp_c[c] 	RTMO06032	  0.00	1000.00	  0.00
ALCD1_REV_No1	fald_c[c] + h_c[c] + nadh_c[c] + 0.0068282 prot_LR69_03482[c]  -> meoh_c[c] + nad_c[c] 	RTMO06037	  0.00	1000.00	  0.00
TGBPA_REV_No1	dhap_c[c] + g3p_c[c] + 0.40156 prot_B4114_3104[c]  -> tagdp__D_c[c] 	RTMO06040	  0.00	1000.00	  0.00
HCO3E_REV_No1	h_c[c] + hco3_c[c] + 28.8184 prot_AOT13_RS13440[c]  -> co2_c[c] + h2o_c[c] 	RTMO06048	  0.00	1000.00	  0.00
